cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
SKA_8,8,SKA,116955,204,"อำเภอจะนะ (เฉพาะตำบลบ้านนา, ตำบลป่าชิง, ตำบลสะพานไม้แก่น, ตำบลสะกอม, ตำบลนาหว้า, ตำบลน้ำขาว, ตำบลขุนตัดหวาย, ตำบลท่าหมอไทร, ตำบลคู, ตำบลแค, ตำบลตลิ่งชัน)"
SKA_9,9,SKA,127785,168,อำเภอบางกล่ำ
SKA_9,9,SKA,127785,168,"อำเภอหาดใหญ่ (เฉพาะตำบลคลองแห, ตำบลควนลัง, ตำบลฉลุง, ตำบลทุ่งตำเสา, ตำบลคูเต่า)"
SKM_1,1,SKM,156558,257,
SKN_1,1,SKN,151106,189,"อำเภอเมืองสมุทรสาคร (เฉพาะตำบลมหาชัย, ตำบลท่าฉลอม, ตำบลโกรกกราก, ตำบลบางหญ้าแพรก, ตำบลท่าทราย, ตำบลโคกขาม, ตำบลพันท้ายนรสิงห์, ตำบลคอกกระบือ, ตำบลบางน้ำจืด)"
SKN_2,2,SKN,145033,175,อำเภอเมืองสมุทรสาคร (เฉพาะตำบลนาดี)
SKN_2,2,SKN,145033,175,"อำเภอกระทุ่มแบน (เฉพาะตำบลอ้อมน้อย, ตำบลสวนหลวง, ตำบลท่าไม้, ตำบลตลาดกระทุ่มแบน, ตำบลแคราย, ตำบลคลองมะเดื่อ, ตำบลดอนไก่ดี)"
SKN_3,3,SKN,150251,251,"อำเภอเมืองสมุทรสาคร (เฉพาะตำบลนาโคก, ตำบลกาหลง, ตำบลบางโทรัด, ตำบลชัยมงคล, ตำบลบ้านบ่อ, ตำบลบางกระเจ้า, ตำบลบ้านเกาะ, ตำบลท่าจีน)"
SKN_3,3,SKN,150251,251,"อำเภอกระทุ่มแบน (เฉพาะตำบลท่าเสา, ตำบลบางยาง, ตำบลหนองนกไข่)"
SKN_3,3,SKN,150251,251,อำเภอบ้านแพ้ว
SKW_1,1,SKW,145448,254,อำเภอเขาฉกรรจ์
SKW_1,1,SKW,145448,254,อำเภอเมืองสระแก้ว
SKW_1,1,SKW,145448,254,อำเภอวังน้ำเย็น (เฉพาะตำบลทุ่งมหาเจริญ)
SKW_2,2,SKW,143258,282,อำเภอคลองหาด
SKW_2,2,SKW,143258,282,อำเภอวังน้ำเย็น (ยกเว้นตำบลทุ่งมหาเจริญ)
SKW_2,2,SKW,143258,282,อำเภอวังสมบูรณ์
SKW_2,2,SKW,143258,282,"อำเภอวัฒนานคร (ยกเว้นตำบลช่องกุ่ม, ตำบลแซร์ออ)"
SKW_3,3,SKW,148906,264,อำเภอโคกสูง
SKW_3,3,SKW,148906,264,อำเภอตาพระยา
SKW_3,3,SKW,148906,264,"อำเภอวัฒนานคร (เฉพาะตำบลช่องกุ่ม, ตำบลแซร์ออ)"
SKW_3,3,SKW,148906,264,อำเภออรัญประเทศ
SNI_1,1,SNI,115687,163,"อำเภอเมืองสุราษฎร์ธาน (ยกเว้นตำบลวัดประดู่, ตำบลขุนทะเล)"
SNI_2,2,SNI,114421,189,อำเภอเกาะพะงัน
SNI_2,2,SNI,114421,189,อำเภอเกาะสมุย
SNI_2,2,SNI,114421,189,"อำเภอกาญจนดิษฐ์ (เฉพาะตำบลท่าทอง, ตำบลพลายวาส, ตำบลท่าอุแท, ตำบลคลองสระ)"
SNI_2,2,SNI,114421,189,อำเภอดอนสัก
SNI_3,3,SNI,117204,221,อำเภอเคียนซา (ยกเว้นตำบลบ้านเสด็จ)
SNI_3,3,SNI,117204,221,อำเภอเวียงสระ
SNI_3,3,SNI,117204,221,"อำเภอบ้านนาสาร (ยกเว้นตำบลทุ่งเตา, ตำบลทุ่งเตาใหม่)"
SNI_4,4,SNI,121209,215,อำเภอคีรีรัฐนิคม
SNI_4,4,SNI,121209,215,อำเภอบ้านตาขุน
SNI_4,4,SNI,121209,215,อำเภอพุนพิน
SNI_5,5,SNI,118628,212,อำเภอเคียนซา (เฉพาะตำบลบ้านเสด็จ)
SNI_5,5,SNI,118628,212,อำเภอชัยบุรี
SNI_5,5,SNI,118628,212,อำเภอพนม
SNI_5,5,SNI,118628,212,อำเภอพระแสง
SNI_6,6,SNI,123057,233,อำเภอไชยา
SNI_6,6,SNI,123057,233,อำเภอท่าฉาง
SNI_6,6,SNI,123057,233,อำเภอท่าชนะ
SNI_6,6,SNI,123057,233,อำเภอวิภาวดี
SNI_7,7,SNI,120124,201,"อำเภอเมืองสุราษฎร์ธาน (เฉพาะตำบลขุนทะเล, ตำบลวัดประดู่)"
SNI_7,7,SNI,120124,201,"อำเภอกาญจนดิษฐ์ (ยกเว้นตำบลท่าทอง, ตำบลพลายวาส, ตำบลท่าอุแท, ตำบลคลองสระ)"
SNI_7,7,SNI,120124,201,อำเภอบ้านนาเดิม
SNI_7,7,SNI,120124,201,"อำเภอบ้านนาสาร (เฉพาะตำบลทุ่งเตา, ตำบลทุ่งเตาใหม่)"
SNK_1,1,SNK,132365,220,"อำเภอเมืองสกลนคร (ยกเว้นตำบลหนองลาด, ตำบลโคกก่อง, ตำบลม่วงลาย, ตำบลดงชน, ตำบลโนนหอม)"
SNK_2,2,SNK,130776,254,อำเภอเต่างอย
SNK_2,2,SNK,130776,254,"อำเภอเมืองสกลนคร (เฉพาะตำบลโคกก่อง, ตำบลม่วงลาย, ตำบลดงชน, ตำบลโนนหอม)"
SNK_2,2,SNK,130776,254,อำเภอโคกศรีสุพรรณ
SNK_2,2,SNK,130776,254,อำเภอโพนนาแก้ว
SNK_2,2,SNK,130776,254,อำเภอกุสุมาลย์
SNK_3,3,SNK,132722,256,อำเภอเมืองสกลนคร (เฉพาะตำบลหนองลาด)
